Team 1,Team 2,Odds 1,Odds 2
Royal Challengers Bengaluru,Punjab Kings,1.86,1.92
Mumbai Indians,Punjab Kings,1.66,2.18
Gujarat Titans,Mumbai Indians,2.32,1.59
Punjab Kings,Royal Challengers Bengaluru,1.93,1.85
Lucknow Super Giants,Royal Challengers Bengaluru,2.24,1.63
Mumbai Indians,Punjab Kings,1.63,2.23
Kolkata Knight Riders,Sunrisers Hyderabad,1.95,1.82
Gujarat Titans,Chennai Super Kings,1.52,2.47
Delhi Capitals,Punjab Kings,2.29,1.60
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.71,2.09
Gujarat Titans,Lucknow Super Giants,1.49,2.58
Mumbai Indians,Delhi Capitals,1.51,2.50
Chennai Super Kings,Rajasthan Royals,1.97,1.82
Lucknow Super Giants,Sunrisers Hyderabad,1.71,2.12
Delhi Capitals,Gujarat Titans,2.12,1.70
Rajasthan Royals,Punjab Kings,2.11,1.71
Royal Challengers Bengaluru,Kolkata Knight Riders,1.72,2.09
Kolkata Knight Riders,Chennai Super Kings,1.57,2.37
Mumbai Indians,Gujarat Titans,1.62,2.28
Sunrisers Hyderabad,Delhi Capitals,1.90,1.89
Punjab Kings,Lucknow Super Giants,1.87,1.92
Kolkata Knight Riders,Rajasthan Royals,1.64,2.24
Royal Challengers Bengaluru,Chennai Super Kings,1.60,2.32
Gujarat Titans,Sunrisers Hyderabad,1.76,2.05
Rajasthan Royals,Mumbai Indians,2.45,1.54
Chennai Super Kings,Punjab Kings,2.32,1.60
Delhi Capitals,Kolkata Knight Riders,1.79,2.01
Rajasthan Royals,Gujarat Titans,2.13,1.70
Delhi Capitals,Royal Challengers Bengaluru,1.96,1.82
Mumbai Indians,Lucknow Super Giants,1.55,2.41
Royal Challengers Bengaluru,Punjab Kings,1.86,1.92
Mumbai Indians,Punjab Kings,1.66,2.18
Gujarat Titans,Mumbai Indians,2.32,1.59
Punjab Kings,Royal Challengers Bengaluru,1.93,1.85
Lucknow Super Giants,Royal Challengers Bengaluru,2.24,1.63
Mumbai Indians,Punjab Kings,1.63,2.23
Kolkata Knight Riders,Sunrisers Hyderabad,1.95,1.82
Gujarat Titans,Chennai Super Kings,1.52,2.47
Delhi Capitals,Punjab Kings,2.29,1.60
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.71,2.09
Gujarat Titans,Lucknow Super Giants,1.49,2.58
Mumbai Indians,Delhi Capitals,1.51,2.50
Chennai Super Kings,Rajasthan Royals,1.97,1.82
Lucknow Super Giants,Sunrisers Hyderabad,1.71,2.12
Delhi Capitals,Gujarat Titans,2.12,1.70
Rajasthan Royals,Punjab Kings,2.11,1.71
Royal Challengers Bengaluru,Kolkata Knight Riders,1.72,2.09
Kolkata Knight Riders,Chennai Super Kings,1.57,2.37
Mumbai Indians,Gujarat Titans,1.62,2.28
Sunrisers Hyderabad,Delhi Capitals,1.90,1.89
Punjab Kings,Lucknow Super Giants,1.87,1.92
Kolkata Knight Riders,Rajasthan Royals,1.64,2.24
Royal Challengers Bengaluru,Chennai Super Kings,1.60,2.32
Gujarat Titans,Sunrisers Hyderabad,1.76,2.05
Rajasthan Royals,Mumbai Indians,2.45,1.54
Chennai Super Kings,Punjab Kings,2.32,1.60
Delhi Capitals,Kolkata Knight Riders,1.79,2.01
Rajasthan Royals,Gujarat Titans,2.13,1.70
Delhi Capitals,Royal Challengers Bengaluru,1.96,1.82
Mumbai Indians,Lucknow Super Giants,1.55,2.41
